"BehaviorSpace results (NetLogo 6.0.3)"
"challenge.nlogo"
"cartel"
"05/21/2018 11:32:54:317 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-payoff-high","n-ticks","can-borrow","p-start-low","p-experiencers","n-history","g-random-jump","tau-weight","n-investors","n-cartel","p-start-high","n-memory","p-payoff-low","sigma-mutation","p-payoff-high","randomize-step","tau","n-predictors","epsilon","max-payoff-low","epsilon-steady","n-coefficients","[step]","outgoings POOL-HIGH"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","10","2.785714285714286"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","10","0.8"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","10","2.076190476190476"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","11","2.774891774891775"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","11","1.4616961985383037"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","11","1.4545454545454546"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","12","2.543650793650794"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","12","1.3398881819934452"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","11","1.8874458874458873"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","12","1.3333333333333333"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","13","1.2368198603016416"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","13","2.518925518925519"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","12","1.73015873015873"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","13","1.5726495726495726"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","14","1.1484755845658101"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","14","2.3390022675736963"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","13","1.8534798534798536"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","14","1.4603174603174602"
