step,who,wealth,payoffs,choices,strategy,tau
78,39,37.28102915892782,0,0,1,0
79,39,37.28102915892782,0,0,1,0
80,39,37.28102915892782,0.9195402298850575,0,1,0
81,39,37.28102915892782,0,1,1,0
82,39,37.28102915892782,0,0,1,0
83,39,37.28102915892782,0,0,1,0
84,39,37.28102915892782,0,0,1,0
85,39,37.28102915892782,0,0,1,0
86,39,37.28102915892782,0,0,1,0
87,39,37.28102915892782,0.8888888888888888,0,1,0
88,39,37.28102915892782,0.9195402298850575,0,1,0
89,39,37.28102915892782,0,0,1,0
90,39,37.28102915892782,0,0,1,0
91,39,37.28102915892782,0,0,1,0
92,39,37.28102915892782,0,0,1,0
93,39,37.28102915892782,13.333333333333334,2,1,0
94,39,37.28102915892782,0,0,1,0
95,39,37.28102915892782,0,1,1,0
96,39,37.28102915892782,0,0,1,0
97,39,37.28102915892782,0,0,1,0
98,39,37.28102915892782,0,2,1,0
99,39,37.28102915892782,0,2,1,0
100,39,37.28102915892782,0.8791208791208791,0,1,0
101,39,37.28102915892782,0,0,1,0
0,16,43.72664950605295,0.9411764705882353,0,1,0
1,16,43.72664950605295,0,0,1,0
2,16,43.72664950605295,0,0,1,0
3,16,43.72664950605295,0,0,1,0
4,16,43.72664950605295,0,0,1,0
5,16,43.72664950605295,0,1,1,0
6,16,43.72664950605295,0,1,1,0
7,16,43.72664950605295,0,0,1,0
8,16,43.72664950605295,0,0,1,0
9,16,43.72664950605295,0.8602150537634409,0,1,0
10,16,43.72664950605295,0,0,1,0
11,16,43.72664950605295,0,0,1,0
12,16,43.72664950605295,0,0,1,0
13,16,43.72664950605295,0.8695652173913043,0,1,0
14,16,43.72664950605295,0,0,1,0
15,16,43.72664950605295,0,0,1,0
16,16,43.72664950605295,0,1,1,0
17,16,43.72664950605295,0,0,1,0
18,16,43.72664950605295,0,2,1,0
19,16,43.72664950605295,0,0,1,0
20,16,43.72664950605295,0,0,1,0
21,16,43.72664950605295,0.8602150537634409,0,1,0
22,16,43.72664950605295,0.8695652173913043,0,1,0
23,16,43.72664950605295,0,0,1,0
24,16,43.72664950605295,0.898876404494382,0,1,0
25,16,43.72664950605295,0.8602150537634409,0,1,0
26,16,43.72664950605295,0,2,1,0
27,16,43.72664950605295,0,0,1,0
28,16,43.72664950605295,0,0,1,0
29,16,43.72664950605295,0,0,1,0
30,16,43.72664950605295,0.8695652173913043,0,1,0
31,16,43.72664950605295,0.8695652173913043,0,1,0
32,16,43.72664950605295,0.9090909090909091,0,1,0
33,16,43.72664950605295,0.8791208791208791,0,1,0
34,16,43.72664950605295,0.8695652173913043,0,1,0
35,16,43.72664950605295,8.88888888888889,2,1,0
36,16,43.72664950605295,0,0,1,0
37,16,43.72664950605295,0.8888888888888888,0,1,0
38,16,43.72664950605295,0,0,1,0
39,16,43.72664950605295,0,0,1,0
40,16,43.72664950605295,0,0,1,0
41,16,43.72664950605295,0,0,1,0
42,16,43.72664950605295,0,0,1,0
43,16,43.72664950605295,0,0,1,0
44,16,43.72664950605295,0,0,1,0
45,16,43.72664950605295,0,0,1,0
46,16,43.72664950605295,0,0,1,0
47,16,43.72664950605295,0,0,1,0
48,16,43.72664950605295,0,0,1,0
49,16,43.72664950605295,0,0,1,0
50,16,43.72664950605295,0,0,1,0
51,16,43.72664950605295,0.8791208791208791,0,1,0
52,16,43.72664950605295,0,0,1,0
53,16,43.72664950605295,0,0,1,0
54,16,43.72664950605295,0,0,1,0
55,16,43.72664950605295,0,0,1,0
56,16,43.72664950605295,0,2,1,0
57,16,43.72664950605295,0.8695652173913043,0,1,0
58,16,43.72664950605295,0,2,1,0
59,16,43.72664950605295,0,0,1,0
60,16,43.72664950605295,0,0,1,0
61,16,43.72664950605295,0.8791208791208791,0,1,0
62,16,43.72664950605295,0.8421052631578947,0,1,0
63,16,43.72664950605295,0.8888888888888888,0,1,0
64,16,43.72664950605295,0,0,1,0
65,16,43.72664950605295,0.8791208791208791,0,1,0
66,16,43.72664950605295,0,0,1,0
67,16,43.72664950605295,0,2,1,0
68,16,43.72664950605295,0.8888888888888888,0,1,0
69,16,43.72664950605295,0,2,1,0
70,16,43.72664950605295,0,0,1,0
71,16,43.72664950605295,0.9090909090909091,0,1,0
72,16,43.72664950605295,0,0,1,0
73,16,43.72664950605295,0.9090909090909091,0,1,0
74,16,43.72664950605295,0,0,1,0
75,16,43.72664950605295,0,0,1,0
76,16,43.72664950605295,0,0,1,0
77,16,43.72664950605295,0,0,1,0
78,16,43.72664950605295,10,2,1,0
79,16,43.72664950605295,0,0,1,0
80,16,43.72664950605295,0.9195402298850575,0,1,0
81,16,43.72664950605295,0,1,1,0
82,16,43.72664950605295,0,0,1,0
83,16,43.72664950605295,0,1,1,0
84,16,43.72664950605295,0,0,1,0
85,16,43.72664950605295,0,0,1,0
86,16,43.72664950605295,0,0,1,0
87,16,43.72664950605295,0.8888888888888888,0,1,0
88,16,43.72664950605295,0.9195402298850575,0,1,0
89,16,43.72664950605295,0,2,1,0
90,16,43.72664950605295,0,0,1,0
91,16,43.72664950605295,0,0,1,0
92,16,43.72664950605295,0,0,1,0
93,16,43.72664950605295,0,0,1,0
94,16,43.72664950605295,0,0,1,0
95,16,43.72664950605295,0,0,1,0
96,16,43.72664950605295,0,0,1,0
97,16,43.72664950605295,0,0,1,0
98,16,43.72664950605295,0.898876404494382,0,1,0
99,16,43.72664950605295,0.9411764705882353,0,1,0
100,16,43.72664950605295,0.8791208791208791,0,1,0
101,16,43.72664950605295,0,2,1,0
0,72,55.03922695812104,0.9411764705882353,0,1,0
1,72,55.03922695812104,0,0,1,0
2,72,55.03922695812104,0,0,1,0
3,72,55.03922695812104,0,0,1,0
4,72,55.03922695812104,0,0,1,0
5,72,55.03922695812104,0,0,1,0
